model|shuffle|time|usedCC|genCC|lmax|algorithm|solver|difficulty|result
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|10.466710567474365|64|64|4|qx|Sat4j|0|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|5.5330023765563965|29|125|4|pqx|Sat4j|0|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|505.9904227256775|64|64|4|qx|Sat4j|50|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|261.53193855285645|32|125|4|pqx|Sat4j|50|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|1000.1239433288574|64|64|4|qx|Sat4j|100|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|513.2358672618866|28|125|4|pqx|Sat4j|100|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|10.564839363098145|64|64|3|qx|Sat4j|0|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|6.049554347991943|22|90|3|pqx|Sat4j|0|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|511.06457686424255|64|64|3|qx|Sat4j|50|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|288.493257522583|22|90|3|pqx|Sat4j|50|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|1004.715496301651|64|64|3|qx|Sat4j|100|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|573.0281021595001|23|90|3|pqx|Sat4j|100|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
./cnf/bench/model_16.cnf|./cnf/bench/prod-16-1.prod|10.494477987289429|64|64|2|qx|Sat4j|0|[(1856, [1005]), (1854, [1008]), (1853, [1007]), (1851, [1003]), (1850, [1001]), (1849, [1004]), (1841, [1014]), (1826, [1009]), (1823, [1002]), (1820, [1010]), (1816, [1015]), (1809, [1006]), (1807, [1012]), (1804, [1013]), (1799, [1011]), (1797, [1016])]
